Группа,Преподаватель,Подгруппа,Дисциплина,Кабинет,Время,Дата
ЭСХ25-5,Кузнецов Н.В.,1.2,"МДК.01.01 Назначение, общее устройство, режимы работы тракторов, автомобилей, сельскохозяйственных машин и оборудования.",202,8.00-8.45 8.55-9.40,28.04.2026
ЭСХ25-5,Кузнецов Н.В.,1.2,"МДК.01.01 Назначение, общее устройство, режимы работы тракторов, автомобилей, сельскохозяйственных машин и оборудования.",202,10.00-10.45 11.05-11.50,28.04.2026
ЭСХ25-5,Кузнецов Н.В.,1.2,"МДК.01.01 Назначение, общее устройство, режимы работы тракторов, автомобилей, сельскохозяйственных машин и оборудования.",202,12.15-13.00 13.15-14.00,28.04.2026
ЭСХ25-5,Васькина Н.И.,1.2,ОПЦ.13 Правовые основы профессиональной деятельности и охрана труда,202,14.10-14.55 15.05-15.50,28.04.2026
2367,Вострецова Н.В.,1.2,Консультация ОПЦ.08 Безопасность жизнедеятельности,112,8.00-8.45 8.55-9.40,28.04.2026
2367,Мещерякова Д.М.,1.2,"МДК.04.02 Процессы приготовления, подготовки к реализации горячих и холодных сладких блюд, десертов, напитков",121,10.00-10.45 11.05-11.50,28.04.2026
2367,Волчихин К.А.,1.2,ОПЦ.09 Физическая культура,с/з,12.15-13.00 13.15-14.00,28.04.2026
2367,Мещерякова Д.М.,1.2,"МДК.04.02 Процессы приготовления, подготовки к реализации горячих и холодных сладких блюд, десертов, напитков",121,14.10-14.55 15.05-15.50,28.04.2026
2472,Алта В.В.,1.2,"УП.02.01 Учебная практика ""Выполнение облицовочных, мозаичных и декоративных работ""",104а,8.00-8.45 8.55-9.40,28.04.2026
2472,Алта В.В.,1.2,"УП.02.01 Учебная практика ""Выполнение облицовочных, мозаичных и декоративных работ""",104а,10.00-10.45 11.05-11.50,28.04.2026
2472,Алта В.В.,1.2,"УП.02.01 Учебная практика ""Выполнение облицовочных, мозаичных и декоративных работ""",104а,12.15-13.00 13.15-14.00,28.04.2026
2473,Зылёва Я.Ф.,1.2,СГ.05 Основы бережливого производства,139,14.55-15.40 15.50-16.35,28.04.2026
2473,Пилипук Г.А.,1,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",№11 гараж,8.00-8.45 8.55-9.40,28.04.2026
2473,Пилипук Г.А.,2,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",№11 гараж,8.00-8.45 8.55-9.40,28.04.2026
2473,Пилипук Г.А.,1,"УП.02.01 Учебная практика ""Выполнение механизированных работ в сельскохозяйственном производстве с поддержанием технического состояния средств механизации""",№11 гараж,10.00-10.45 11.05-11.50,28.04.2026
