"Группа","Преподаватель","Подгруппа","Дисциплина","Кабинет","Время","Дата"
"2579","Алта В.В.","1","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки"""," ","10.00-10.45 11.05-11.50","08.09.2026"
"2579","Косичкин Т.В.","2","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""","№2 гараж","10.00-10.45 11.05-11.50","08.09.2026"
"2579","Алта В.В.","1","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки"""," ","12.10-12.55 13.05-13.50","08.09.2026"
"2579","Косичкин Т.В.","2","УП.01.01 Учебная практика ""Проведение подготовительных, сборочных операций перед сваркой, зачистка и контроль сварных швов после сварки""","№2 гараж","12.10-12.55 13.05-13.50","08.09.2026"
"2580","Полякова М.В.","1.2","СЦ.01 История России","250а","10.00-10.45 11.05-11.50","08.09.2026"
"2580","Григораш А.В.","1.2","ОДБ.05 География","240","12.10-12.55 13.05-13.50","08.09.2026"
"2581","Азиатцев Е.С.","1","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""","№11 гараж","8.00-8.45 8.55-9.40","08.09.2026"
"2581","Зуев Н.А.","2","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования"""," ","8.00-8.45 8.55-9.40","08.09.2026"
"2581","Азиатцев Е.С.","1","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""","№11 гараж","10.00-10.45 11.05-11.50","08.09.2026"
"2581","Зуев Н.А.","2","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования"""," ","10.00-10.45 11.05-11.50","08.09.2026"
"2581","Азиатцев Е.С.","1","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования""","№11 гараж","12.10-12.55 13.05-13.50","08.09.2026"
"2581","Зуев Н.А.","2","УП.01.01 Учебная практика ""Выполнение работ по ремонту и наладке сельскохозяйственных машин и оборудования"""," ","12.10-12.55 13.05-13.50","08.09.2026"
"2582","Улыбина Н.Г.","1.2","МДК.02.02 Процессы приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок","121","8.00-8.45 8.55-9.40","08.09.2026"
"2582","Улыбина Н.Г.","1.2","МДК.02.02 Процессы приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок","121","10.00-10.45 11.05-11.50","08.09.2026"
"2582","Улыбина Н.Г.","1.2","МДК.02.02 Процессы приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок","121","12.10-12.55 13.05-13.50","08.09.2026"
"2583","Васькина Н.И.","1.2","ПП.01.01 Производственная практика ""Документирование управленческой деятельности и организация работы с документами"""," ","8.00-8.45 8.55-9.40","08.09.2026"
"2583","Васькина Н.И.","1.2","ПП.01.01 Производственная практика ""Документирование управленческой деятельности и организация работы с документами"""," ","10.00-10.45 11.05-11.50","08.09.2026"
"2583","Васькина Н.И.","1.2","ПП.01.01 Производственная практика ""Документирование управленческой деятельности и организация работы с документами"""," ","12.10-12.55 13.05-13.50","08.09.2026"
"2684","Зылёв А.Д.","1.2","ОДП.12 Информатика","209","8.00-8.45 8.55-9.40","08.09.2026"
"2684","Малушкин А.В.","1.2","ОП.01 Основы информационных технологий","209","10.00-10.45 11.05-11.50","08.09.2026"
"2684","Деньгуб А.А.","1.2","ПОО.02 Введение в профессию","135","12.10-12.55 13.05-13.50","08.09.2026"
"2685","Шмелёва А.В.","1.2","ОДП.11 Математика","247","8.00-8.45 8.55-9.40","08.09.2026"
"2685","Седякина Д.Ю.","1.2","ОДБ.06 Иностранный язык","133","10.00-10.45 11.05-11.50","08.09.2026"
"2685","Григораш С.В.","1.2","ПОО.02 Введение в профессию","117","12.10-12.55 13.05-13.50","08.09.2026"
"2686","Фазылов Р.Ю.","1.2","ОДБ.08 Основы безопасности и защита Родины","242","8.00-8.45 8.55-9.40","08.09.2026"
